Streams,Artist Followers,Tempo,Duration (ms)
5124606,140812,119.932,116750
5085147,2562082,146.078,258343
5079587,1250353,115.884,190779
5048079,3864419,124.939,139461
5043647,32574754,109.012,220733
4975720,17719446,76.469,175721
4971176,27142474,113.011,221820
4916860,56308172,133.976,261493
4912036,14917926,119.933,217000
4911162,319192,97.041,218107
4910070,19584111,105.143,216880
4904401,14097410,100.45,292987
4898977,17719446,155.008,312820
4862683,18191658,103.019,247160
4846549,152226,106.064,233386
7615531,11690201,135.976,255532
7506580,4840346,145.05,178776
6989528,4840346,168.146,190509
6410263,32262679,142.989,172598
6323268,11690201,126.063,206272
5470147,3911473,116.001,174760
5456648,11690201,155.038,248652
5395181,5963840,124.025,222523
5335308,4840346,140.369,165405
5322745,11690201,134.944,241790
5265630,1250353,94.009,174321
5242347,36142273,92.025,130014
5155238,2753929,94.998,159147
5142982,1250353,178.032,211295
5125477,5473565,174.065,168276
5119845,4840346,78.43,137692
5041656,18572085,123.056,182200
7324233,7805880,133.997,257428
6439718,5178156,93.007,187307
6249801,7805880,133.997,257428
6040553,4136553,104.973,202204
5645966,14097410,65.988,148421
5552212,4016497,82.465,168727
5347781,61930,125.987,215693
5300884,7904381,92.03,216107
5298893,16112621,139.863,208907
5241813,3377762,162.124,300413
5201714,1250353,163.908,178947
5113574,1246335,105.012,178405
5404939,46785561,99.01,236666
5378350,10334543,129.988,150462
5372180,19085118,161.989,165820
5368759,19085118,78.452,196147
5266625,37106176,119.991,229773
5207186,74814,129.96,125558
5143522,46785561,165.995,210800
5085511,3816446,99.034,162547
5068972,2263960,129.062,244973
5063015,48504126,86.919,212093
5051514,448447,92.464,155676
7880155,14097410,98.962,133022
7450126,37106176,109.893,162147
7198095,37106176,164.032,214621
6935400,75496,135.379,176816
6634722,20823062,96.966,175044
6628638,20823062,113.06,172232
6333126,14097410,71.724,196946
6299936,22161310,74.861,339506
6277641,121225,98.01,177790
6237019,107553,116.431,172675
5738325,2379448,140.057,172359
5393643,14097410,89.812,266291
5335112,56308172,129.895,178154
5282702,1725025,106.196,218448
5252767,618444,80.974,147351
5174437,32257,123.466,183707
5174298,3553442,118,144349
5156496,727731,117.904,174936
5152139,169137,123.038,166000
5150176,20823062,142.009,223066
15967986,14097410,83.092,177337
15171655,14097410,125.092,163302
14051831,14097410,94.104,112579
12648655,14097410,81.446,306257
11647489,14097410,94.983,238972
10712648,14097410,140.021,218802
6081034,2230022,92.56,161385
5595839,3126961,133.028,177443
5518444,2123734,175.996,324426
5375782,2918229,158.024,154667
5294368,16112621,110.011,240133
5278449,6150675,95.007,195066
5218146,22718,100.021,289933
5215973,1250353,89.988,184507
5191697,48504126,79.859,149297
5165035,1275345,78.953,243773
5127736,280585,75.801,208687
7347891,6278835,124.036,165366
5831357,323203,141.02,278085
5448680,1250353,120.006,245426
5346005,1605329,129.987,217609
5290877,3126961,87.913,192348
5264232,5473565,151.947,154998
5258000,942628,91.921,170345
5241227,10488292,142.037,237735
5203700,1223734,129.964,174021
5125706,19085118,149.972,194621
5103863,14826679,170.089,197647
5088848,1260752,128.048,175047
5062404,10561047,167.897,179005
5037124,19085118,144.991,205485
5024884,19085118,159.966,240051
5018076,15013645,157.932,157355
5018005,85617,97.753,80081
7939784,279741,80.462,225020
6325080,3864419,95.906,188779
6127103,6278835,163.071,200221
6083338,6278835,129.06,165527
5768836,10740222,139.982,195429
5655879,1094731,188.7,168086
5480722,42227614,135.942,277592
5467596,1250353,124.011,199931
5377794,29051363,94.036,228920
5200695,20331923,144.978,204632
5198209,423237,146.933,184490
5107084,3553442,120.031,232048
5026961,6929075,99.999,213314
5896065,48544923,99.928,174406
5531998,4138951,135.859,214094
5496962,17719446,124.917,162803
5181180,100463,91.066,210463
5141640,1585593,160.984,196380
5081800,8446147,77.355,208827
5069268,33893352,145.765,178994
5054319,35340069,100.021,237520
5051338,29566516,75.023,166606
4998044,130801,89.962,182121
4992396,4270131,129.992,188344
4945935,32603394,72.795,213827
4940701,1250353,115.977,265240
4913147,20823062,169.977,202333
7753784,61930,123.016,152333
7515766,61930,74.017,242600
6202933,42227614,119.054,235767
5380517,9907270,163.946,155210
5159208,4271775,171.977,147876
5016865,42227614,81.112,214707
4976405,12375514,92.004,161124
4965330,1250353,110.184,185487
4959754,29051363,176.089,242573
9872084,42227614,130.033,231124
9676024,42227614,100.118,241592
8638360,2815928,95.027,217587
7852063,42227614,95.466,294419
7736262,42227614,161.032,243137
7712896,42227614,142.731,220839
7385864,42227614,115.99,254255
7039222,42227614,185.262,234516
6566059,42227614,128.03,225328
6508683,42227614,148.035,263377
5988511,2815928,90.991,214440
5889939,42227614,90.201,189496
5885151,42227614,100.023,200576
5860405,42227614,133.873,261843
5217052,1250353,100.978,183240
5206614,8758283,171.943,247308
5197564,42227614,101.934,208609
5189423,42227614,106.007,244237
5172999,3198705,94.927,206360
5836326,20338833,75.245,243992
5427638,1099480,79.936,207164
